id,code_origin,name_origin,type,code_change,name_change,create_time,edit_time
148,330206200000,梅山乡,撤乡建街道,330206009000,春晓街道,12/21/2017 11:19:57,12/21/2017 11:19:57
149,330104102000,彭埠镇,撤镇建街道,330104011000,彭埠街道,12/21/2017 11:19:57,12/21/2017 11:19:57
150,330104103000,笕桥镇,撤镇建街道,330104012000,笕桥街道,12/21/2017 11:19:57,12/21/2017 11:19:57
151,330104104000,丁桥镇,撤镇建街道,330104013000,丁兰街道,12/21/2017 11:19:57,12/21/2017 11:19:57
152,330104105000,九堡镇,撤镇建街道,330104014000,九堡街道,12/21/2017 11:19:57,12/21/2017 11:19:57
153,340321208000,找郢乡,撤乡建镇,340321110000,白莲坡镇,12/21/2017 11:19:57,12/21/2017 11:19:57
154,341802100000,向阳镇,撤镇建街道,341802009000,向阳街道,12/21/2017 11:19:57,12/21/2017 11:19:57
155,341524110000,响洪甸镇,名称变更,341524110000,麻埠镇,12/21/2017 11:19:57,12/21/2017 11:19:57
156,341524210000,银山畈乡,并入其他建制,,,12/21/2017 11:19:57,12/21/2017 11:19:57
157,341524213000,张畈乡,并入其他建制,,,12/21/2017 11:19:57,12/21/2017 11:19:57
158,341524214000,水竹坪乡,并入其他建制,,,12/21/2017 11:19:57,12/21/2017 11:19:57
159,340225115000,白茆镇,整建制划归,340207103000,白茆镇,12/21/2017 11:19:57,12/21/2017 11:19:57
160,340322102000,沫河口镇,整建制划归,340311104000,沫河口镇,12/21/2017 11:19:57,12/21/2017 11:19:57
161,341522213000,三元乡,撤乡建镇,341522124000,三元镇,12/21/2017 11:19:57,12/21/2017 11:19:57
162,340123104000,高刘镇,划归管辖,340104111000,高刘镇,12/21/2017 11:19:57,12/21/2017 11:19:57
163,340123106000,小庙镇,划归管辖,340104112000,小庙镇,12/21/2017 11:19:57,12/21/2017 11:19:57
164,340403200000,三和乡,撤乡建镇,340403103000,三和镇,12/21/2017 11:19:57,12/21/2017 11:19:57
165,341222200000,胡总乡,撤乡建镇,341222126000,胡总镇,12/21/2017 11:19:57,12/21/2017 11:19:57
166,341825207000,兴隆乡,撤乡建镇,341825106000,兴隆镇,12/21/2017 11:19:57,12/21/2017 11:19:57
167,341302111000,西寺坡镇,更名,,大泽乡镇,12/21/2017 11:19:57,12/21/2017 11:19:57
168,340421209000,丁集乡,撤乡建镇,340421110000,丁集镇,12/21/2017 11:19:57,12/21/2017 11:19:57
169,341023200000,柯村乡,撤乡建镇,341023104000,柯村镇,12/21/2017 11:19:57,12/21/2017 11:19:57
170,341222203000,马集乡,撤乡建镇,341222127000,马集镇,12/21/2017 11:19:57,12/21/2017 11:19:57
171,341822202000,杨滩乡,撤乡建镇,341822105000,杨滩镇,12/21/2017 11:19:57,12/21/2017 11:19:57
172,341825208000,孙村乡,撤乡建镇,341825107000,孙村镇,12/21/2017 11:19:57,12/21/2017 11:19:57
173,341323107000,尤集镇,更名,341323107000,游集镇,12/21/2017 11:19:57,12/21/2017 11:19:57
174,341024207000,塔坊乡,撤乡建镇,341024108000,塔坊镇,12/21/2017 11:19:57,12/21/2017 11:19:57
175,341221205000,杨小街乡,撤乡建镇,341221123000,杨小街镇,12/21/2017 11:19:57,12/21/2017 11:19:57
176,350526207000,美湖乡,撤乡建镇,350526111000,美湖镇,12/21/2017 11:19:57,12/21/2017 11:19:57
177,350721201000,郑坊乡,撤乡建镇,350721109000,郑坊镇,12/21/2017 11:19:57,12/21/2017 11:19:57
178,350824208000,永平乡,撤乡建镇,350824109000,永平镇,12/21/2017 11:19:57,12/21/2017 11:19:57
