,province,city,area,code_num,code_province,code_city,code_area
254,广东省,湛江市,徐闻县,440825000000,440000000000,440800000000,440825000000
255,湖南省,衡阳市,常宁市,430482000000,430000000000,430400000000,430482000000
256,吉林省,吉林市,磐石市,220284000000,220000000000,220200000000,220284000000
257,山西省,吕梁市,兴县,141123000000,140000000000,141100000000,141123000000
258,四川省,德阳市,中江县,510623000000,510000000000,510600000000,510623000000
259,贵州省,六盘水市,钟山区,520201000000,520000000000,520200000000,520201000000
260,新疆维吾尔自治区,喀什地区,塔什库尔干塔吉克自治县,653131000000,650000000000,653100000000,653131000000
261,四川省,攀枝花市,东区,510402000000,510000000000,510400000000,510402000000
262,云南省,昆明市,寻甸回族彝族自治县,530129000000,530000000000,530100000000,530129000000
263,四川省,达州市,大竹县,511724000000,510000000000,511700000000,511724000000
264,河北省,衡水市,阜城县,131128000000,130000000000,131100000000,131128000000
265,云南省,大理白族自治州,剑川县,532931000000,530000000000,532900000000,532931000000
266,安徽省,马鞍山市,雨山区,340504000000,340000000000,340500000000,340504000000
267,山东省,临沂市,莒南县,371327000000,370000000000,371300000000,371327000000
268,黑龙江省,大庆市,肇源县,230622000000,230000000000,230600000000,230622000000
269,河北省,秦皇岛市,抚宁区,130306000000,130000000000,130300000000,130306000000
270,西藏自治区,日喀则市,桑珠孜区,540202000000,540000000000,540200000000,540202000000
271,辽宁省,辽阳市,宏伟区,211004000000,210000000000,211000000000,211004000000
272,西藏自治区,林芝市,米林县,540422000000,540000000000,540400000000,540422000000
273,辽宁省,大连市,庄河市,210283000000,210000000000,210200000000,210283000000
274,安徽省,芜湖市,无为县,340225000000,340000000000,340200000000,340225000000
275,山西省,临汾市,永和县,141032000000,140000000000,141000000000,141032000000
276,山西省,太原市,小店区,140105000000,140000000000,140100000000,140105000000
277,河北省,衡水市,武强县,131123000000,130000000000,131100000000,131123000000
278,四川省,攀枝花市,米易县,510421000000,510000000000,510400000000,510421000000
279,贵州省,黔西南布依族苗族自治州,望谟县,522326000000,520000000000,522300000000,522326000000
280,安徽省,宿州市,砀山县,341321000000,340000000000,341300000000,341321000000
281,四川省,自贡市,沿滩区,510311000000,510000000000,510300000000,510311000000
282,云南省,楚雄彝族自治州,永仁县,532327000000,530000000000,532300000000,532327000000
283,湖南省,怀化市,鹤城区,431202000000,430000000000,431200000000,431202000000
284,贵州省,铜仁市,松桃苗族自治县,520628000000,520000000000,520600000000,520628000000
285,黑龙江省,鹤岗市,兴山区,230407000000,230000000000,230400000000,230407000000
286,广西壮族自治区,桂林市,永福县,450326000000,450000000000,450300000000,450326000000
287,山东省,淄博市,张店区,370303000000,370000000000,370300000000,370303000000
288,广东省,佛山市,南海区,440605000000,440000000000,440600000000,440605000000
289,福建省,莆田市,城厢区,350302000000,350000000000,350300000000,350302000000
290,内蒙古自治区,巴彦淖尔市,乌拉特中旗,150824000000,150000000000,150800000000,150824000000
291,湖南省,益阳市,沅江市,430981000000,430000000000,430900000000,430981000000
292,吉林省,白山市,靖宇县,220622000000,220000000000,220600000000,220622000000
293,陕西省,西安市,临潼区,610115000000,610000000000,610100000000,610115000000
294,云南省,文山壮族苗族自治州,文山市,532601000000,530000000000,532600000000,532601000000
295,河南省,商丘市,睢阳区,411403000000,410000000000,411400000000,411403000000
296,浙江省,湖州市,南浔区,330503000000,330000000000,330500000000,330503000000
297,山西省,长治市,潞城市,140481000000,140000000000,140400000000,140481000000
298,湖北省,荆州市,洪湖市,421083000000,420000000000,421000000000,421083000000
299,贵州省,黔东南苗族侗族自治州,凯里市,522601000000,520000000000,522600000000,522601000000
300,辽宁省,锦州市,北镇市,210782000000,210000000000,210700000000,210782000000
301,山西省,长治市,沁县,140430000000,140000000000,140400000000,140430000000
302,山西省,吕梁市,方山县,141128000000,140000000000,141100000000,141128000000
303,黑龙江省,哈尔滨市,通河县,230128000000,230000000000,230100000000,230128000000
304,广东省,广州市,天河区,440106000000,440000000000,440100000000,440106000000
305,内蒙古自治区,呼和浩特市,赛罕区,150105000000,150000000000,150100000000,150105000000
306,贵州省,黔西南布依族苗族自治州,兴仁县,522322000000,520000000000,522300000000,522322000000
307,陕西省,汉中市,西乡县,610724000000,610000000000,610700000000,610724000000
308,黑龙江省,牡丹江市,爱民区,231004000000,230000000000,231000000000,231004000000
309,四川省,成都市,大邑县,510129000000,510000000000,510100000000,510129000000
310,广东省,肇庆市,端州区,441202000000,440000000000,441200000000,441202000000
311,河北省,邯郸市,武安市,130481000000,130000000000,130400000000,130481000000
312,江苏省,南京市,雨花台区,320114000000,320000000000,320100000000,320114000000
313,山西省,吕梁市,中阳县,141129000000,140000000000,141100000000,141129000000
314,黑龙江省,绥化市,庆安县,231224000000,230000000000,231200000000,231224000000
315,江西省,萍乡市,安源区,360302000000,360000000000,360300000000,360302000000
316,广东省,梅州市,大埔县,441422000000,440000000000,441400000000,441422000000
317,云南省,玉溪市,澄江县,530422000000,530000000000,530400000000,530422000000
318,四川省,凉山彝族自治州,美姑县,513436000000,510000000000,513400000000,513436000000
319,福建省,福州市,马尾区,350105000000,350000000000,350100000000,350105000000
320,山东省,临沂市,河东区,371312000000,370000000000,371300000000,371312000000
321,河南省,郑州市,管城回族区,410104000000,410000000000,410100000000,410104000000
322,新疆维吾尔自治区,喀什地区,叶城县,653126000000,650000000000,653100000000,653126000000
323,安徽省,黄山市,祁门县,341024000000,340000000000,341000000000,341024000000
324,山东省,淄博市,高青县,370322000000,370000000000,370300000000,370322000000
325,湖北省,十堰市,丹江口市,420381000000,420000000000,420300000000,420381000000
326,河南省,安阳市,内黄县,410527000000,410000000000,410500000000,410527000000
327,广东省,广州市,海珠区,440105000000,440000000000,440100000000,440105000000
328,陕西省,渭南市,华州区,610503000000,610000000000,610500000000,610503000000
329,山西省,忻州市,岢岚县,140929000000,140000000000,140900000000,140929000000
330,河北省,张家口市,阳原县,130727000000,130000000000,130700000000,130727000000
331,甘肃省,定西市,临洮县,621124000000,620000000000,621100000000,621124000000
332,江苏省,无锡市,新吴区,320214000000,320000000000,320200000000,320214000000
333,广西壮族自治区,崇左市,龙州县,451423000000,450000000000,451400000000,451423000000
334,青海省,玉树藏族自治州,曲麻莱县,632726000000,630000000000,632700000000,632726000000
335,四川省,南充市,西充县,511325000000,510000000000,511300000000,511325000000
336,海南省,海口市,琼山区,460107000000,460000000000,460100000000,460107000000
337,山西省,朔州市,平鲁区,140603000000,140000000000,140600000000,140603000000
338,云南省,普洱市,思茅区,530802000000,530000000000,530800000000,530802000000
339,吉林省,长春市,农安县,220122000000,220000000000,220100000000,220122000000
340,内蒙古自治区,赤峰市,元宝山区,150403000000,150000000000,150400000000,150403000000
341,广东省,江门市,恩平市,440785000000,440000000000,440700000000,440785000000
342,云南省,玉溪市,峨山彝族自治县,530426000000,530000000000,530400000000,530426000000
343,内蒙古自治区,兴安盟,乌兰浩特市,152201000000,150000000000,152200000000,152201000000
344,河南省,郑州市,新郑市,410184000000,410000000000,410100000000,410184000000
345,广东省,梅州市,梅县区,441403000000,440000000000,441400000000,441403000000
346,新疆维吾尔自治区,喀什地区,疏附县,653121000000,650000000000,653100000000,653121000000
347,云南省,保山市,龙陵县,530523000000,530000000000,530500000000,530523000000
348,甘肃省,临夏回族自治州,临夏县,622921000000,620000000000,622900000000,622921000000
349,河北省,廊坊市,三河市,131082000000,130000000000,131000000000,131082000000
350,吉林省,延边朝鲜族自治州,图们市,222402000000,220000000000,222400000000,222402000000
351,安徽省,马鞍山市,花山区,340503000000,340000000000,340500000000,340503000000
352,广西壮族自治区,桂林市,秀峰区,450302000000,450000000000,450300000000,450302000000
353,内蒙古自治区,呼伦贝尔市,扎兰屯市,150783000000,150000000000,150700000000,150783000000
354,四川省,雅安市,石棉县,511824000000,510000000000,511800000000,511824000000
355,黑龙江省,哈尔滨市,松北区,230109000000,230000000000,230100000000,230109000000
356,河北省,张家口市,张北县,130722000000,130000000000,130700000000,130722000000
357,湖南省,株洲市,天元区,430211000000,430000000000,430200000000,430211000000
