,province,city,code_num,code_province,code_city,code_area
2115,江苏省,宿迁市,321300000000,320000000000,321300000000,321300000000
2131,辽宁省,丹东市,210600000000,210000000000,210600000000,210600000000
2132,山东省,日照市,371100000000,370000000000,371100000000,371100000000
2154,内蒙古自治区,兴安盟,152200000000,150000000000,152200000000,152200000000
2160,广西壮族自治区,贵港市,450800000000,450000000000,450800000000,450800000000
2191,广东省,潮州市,445100000000,440000000000,445100000000,445100000000
2195,湖南省,湘潭市,430300000000,430000000000,430300000000,430300000000
2200,广西壮族自治区,柳州市,450200000000,450000000000,450200000000,450200000000
2207,河北省,邯郸市,130400000000,130000000000,130400000000,130400000000
2210,贵州省,黔西南布依族苗族自治州,522300000000,520000000000,522300000000,522300000000
2216,安徽省,阜阳市,341200000000,340000000000,341200000000,341200000000
2221,陕西省,咸阳市,610400000000,610000000000,610400000000,610400000000
2242,黑龙江省,双鸭山市,230500000000,230000000000,230500000000,230500000000
2255,宁夏回族自治区,石嘴山市,640200000000,640000000000,640200000000,640200000000
2263,四川省,自贡市,510300000000,510000000000,510300000000,510300000000
2274,河南省,信阳市,411500000000,410000000000,411500000000,411500000000
2307,广东省,惠州市,441300000000,440000000000,441300000000,441300000000
2308,云南省,曲靖市,530300000000,530000000000,530300000000,530300000000
2312,辽宁省,本溪市,210500000000,210000000000,210500000000,210500000000
2318,江西省,九江市,360400000000,360000000000,360400000000,360400000000
2319,甘肃省,嘉峪关市,620200000000,620000000000,620200000000,620200000000
2323,福建省,厦门市,350200000000,350000000000,350200000000,350200000000
2339,云南省,普洱市,530800000000,530000000000,530800000000,530800000000
2346,湖北省,随州市,421300000000,420000000000,421300000000,421300000000
2349,江苏省,常州市,320400000000,320000000000,320400000000,320400000000
2378,安徽省,淮南市,340400000000,340000000000,340400000000,340400000000
2388,山东省,青岛市,370200000000,370000000000,370200000000,370200000000
2400,广西壮族自治区,贺州市,451100000000,450000000000,451100000000,451100000000
2403,海南省,儋州市,460400000000,460000000000,460400000000,460400000000
2408,河南省,洛阳市,410300000000,410000000000,410300000000,410300000000
2423,贵州省,黔南布依族苗族自治州,522700000000,520000000000,522700000000,522700000000
2426,湖北省,咸宁市,421200000000,420000000000,421200000000,421200000000
2436,海南省,海口市,460100000000,460000000000,460100000000,460100000000
2446,山东省,枣庄市,370400000000,370000000000,370400000000,370400000000
2448,河南省,鹤壁市,410600000000,410000000000,410600000000,410600000000
2450,四川省,雅安市,511800000000,510000000000,511800000000,511800000000
2466,甘肃省,定西市,621100000000,620000000000,621100000000,621100000000
2479,甘肃省,甘南藏族自治州,623000000000,620000000000,623000000000,623000000000
