,province,city,code_num
2303,辽宁省,本溪市,210500000000
2309,江西省,九江市,360400000000
2310,甘肃省,嘉峪关市,620200000000
2314,福建省,厦门市,350200000000
2332,青海省,海东地区,632100000000
2333,云南省,普洱市,530800000000
2342,湖北省,随州市,421300000000
2345,江苏省,常州市,320400000000
2352,新疆维吾尔自治区,吐鲁番地区,652100000000
2374,安徽省,淮南市,340400000000
2385,山东省,青岛市,370200000000
2397,广西壮族自治区,贺州市,451100000000
2404,河南省,洛阳市,410300000000
2419,贵州省,黔南布依族苗族自治州,522700000000
2421,贵州省,毕节地区,522400000000
2423,湖北省,咸宁市,421200000000
2433,海南省,海口市,460100000000
2443,山东省,枣庄市,370400000000
2445,河南省,鹤壁市,410600000000
2448,四川省,雅安市,511800000000
2466,甘肃省,定西市,621100000000
2479,甘肃省,甘南藏族自治州,623000000000
2492,云南省,怒江傈僳族自治州,533300000000
2499,宁夏回族自治区,银川市,640100000000
2501,江苏省,南通市,320600000000
2511,陕西省,榆林市,610800000000
2521,湖南省,株洲市,430200000000
2522,广西壮族自治区,崇左市,451400000000
2524,山西省,忻州市,140900000000
2534,安徽省,芜湖市,340200000000
2536,广东省,梅州市,441400000000
2553,内蒙古自治区,乌兰察布市,150900000000
2568,云南省,保山市,530500000000
2573,黑龙江省,大庆市,230600000000
2582,辽宁省,朝阳市,211300000000
2592,安徽省,宣城市,341800000000
2593,湖南省,张家界市,430800000000
2596,河北省,廊坊市,131000000000
2601,广东省,湛江市,440800000000
2610,辽宁省,沈阳市,210100000000
2625,浙江省,温州市,330300000000
2634,河南省,三门峡市,411200000000
2644,湖北省,十堰市,420300000000
2645,四川省,遂宁市,510900000000
2667,广西壮族自治区,梧州市,450400000000
2682,内蒙古自治区,锡林郭勒盟,152500000000
2688,青海省,西宁市,630100000000
2695,新疆维吾尔自治区,哈密地区,652200000000
2708,甘肃省,天水市,620500000000
2712,四川省,凉山彝族自治州,513400000000
2729,山东省,德州市,371400000000
2745,陕西省,渭南市,610500000000
2749,黑龙江省,七台河市,230900000000
2752,安徽省,滁州市,341100000000
2766,福建省,龙岩市,350800000000
2783,辽宁省,抚顺市,210400000000
2791,内蒙古自治区,鄂尔多斯市,150600000000
2796,江西省,吉安市,360800000000
2800,河北省,石家庄市,130100000000
2815,广东省,阳江市,441700000000
2819,辽宁省,辽阳市,211000000000
2832,甘肃省,白银市,620400000000
2839,内蒙古自治区,巴彦淖尔市,150800000000
2841,辽宁省,盘锦市,211100000000
2853,广西壮族自治区,来宾市,451300000000
2860,湖南省,益阳市,430900000000
2865,广东省,汕尾市,441500000000
2869,陕西省,延安市,610600000000
2875,广东省,江门市,440700000000
2877,浙江省,湖州市,330500000000
2888,西藏自治区,昌都地区,542100000000
2899,黑龙江省,伊春市,230700000000
2900,新疆维吾尔自治区,喀什地区,653100000000
2912,湖北省,黄石市,420200000000
