id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type
93,湖南省,娄底市,双峰县,,,431321000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
94,四川省,巴中市,巴州区,,,511902000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
95,广西壮族自治区,防城港市,,,,450600000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
96,四川省,成都市,,,,510100000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
97,云南省,曲靖市,宣威市,,,530381000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
98,甘肃省,平凉市,庄浪县,,,620825000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
99,湖北省,宜昌市,当阳市,,,420582000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
100,江西省,宜春市,奉新县,,,360921000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
101,陕西省,宝鸡市,渭滨区,,,610302000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
102,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,,,652827000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
103,河北省,承德市,,,,130800000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
104,浙江省,杭州市,拱墅区,,,330105000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
105,山东省,青岛市,胶州市,,,370281000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
106,黑龙江省,齐齐哈尔市,泰来县,,,230224000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
107,湖北省,襄阳市,枣阳市,,,420683000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
108,江西省,吉安市,永丰县,,,360825000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
109,浙江省,嘉兴市,海宁市,,,330481000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
110,江西省,九江市,共青城市,,,360482000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
111,山东省,临沂市,郯城县,,,371322000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
112,北京市,,密云县,,,110228000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
113,四川省,乐山市,马边彝族自治县,,,511133000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
114,湖南省,岳阳市,华容县,,,430623000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
115,浙江省,金华市,,,,330700000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
116,安徽省,淮南市,凤台县,,,340421000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
117,黑龙江省,双鸭山市,岭东区,,,230503000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
118,河南省,鹤壁市,淇县,,,410622000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
119,河北省,石家庄市,元氏县,,,130132000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
120,浙江省,嘉兴市,嘉善县,,,330421000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
121,天津市,,静海县,,,120223000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
122,福建省,龙岩市,连城县,,,350825000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
123,湖南省,益阳市,资阳区,,,430902000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
124,广东省,汕头市,潮阳区,,,440513000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
